match_id,minute,team,player,event_type,x,y,outcome,xg,distance,angle,body_part,play_type,is_goal
1001,12,Demo FC,Alex Cole,Shot,88,42,Saved,0.11,14.2,0.72,Foot,Open Play,0
1001,24,Rival United,Liam Hart,Shot,84,48,Miss,0.08,16.5,0.65,Foot,Open Play,0
1001,39,Demo FC,Noah Reed,Shot,93,40,Goal,0.28,9.8,0.91,Foot,Open Play,1
1001,58,Rival United,Ethan Shaw,Shot,90,52,Goal,0.19,11.6,0.78,Head,Set Piece,1
1001,71,Demo FC,Alex Cole,Shot,86,44,Goal,0.22,12.4,0.83,Foot,Open Play,1
1002,10,Demo FC,Alex Cole,Shot,87,43,Miss,0.10,14.8,0.74,Foot,Open Play,0
1002,29,Metro City,Leo Finn,Shot,89,47,Saved,0.14,13.1,0.80,Foot,Open Play,0
1002,45,Metro City,Leo Finn,Shot,92,50,Goal,0.24,10.7,0.86,Head,Set Piece,1
1002,67,Demo FC,Noah Reed,Shot,91,46,Goal,0.26,10.9,0.88,Foot,Open Play,1
1002,82,Demo FC,Ryan Vale,Shot,80,41,Miss,0.05,19.6,0.52,Foot,Open Play,0
1003,21,Demo FC,Noah Reed,Shot,89,45,Saved,0.16,12.9,0.81,Foot,Open Play,0
1003,48,Coastal Town,Marco Ives,Shot,82,50,Miss,0.07,17.4,0.60,Foot,Open Play,0
1003,61,Demo FC,Ryan Vale,Shot,85,39,Saved,0.09,15.8,0.69,Foot,Open Play,0
1003,77,Demo FC,Alex Cole,Shot,90,49,Saved,0.17,12.1,0.82,Head,Set Piece,0
1004,9,Highland SC,Tom Wren,Shot,87,52,Goal,0.21,12.0,0.79,Foot,Open Play,1
1004,16,Demo FC,Alex Cole,Shot,92,44,Goal,0.27,10.1,0.90,Foot,Open Play,1
1004,37,Demo FC,Noah Reed,Shot,88,47,Saved,0.15,13.8,0.75,Foot,Open Play,0
1004,51,Highland SC,Tom Wren,Shot,90,46,Goal,0.23,11.2,0.85,Head,Set Piece,1
1004,69,Demo FC,Ryan Vale,Shot,91,42,Goal,0.25,10.6,0.87,Foot,Open Play,1
1004,88,Demo FC,Alex Cole,Shot,89,45,Goal,0.20,12.7,0.80,Foot,Open Play,1
1005,14,Capital Rovers,Sam Holt,Shot,90,48,Goal,0.22,11.0,0.84,Foot,Open Play,1
1005,33,Demo FC,Noah Reed,Shot,88,46,Saved,0.14,13.4,0.77,Foot,Open Play,0
1005,57,Demo FC,Alex Cole,Shot,92,41,Goal,0.29,9.6,0.93,Foot,Open Play,1
1005,79,Capital Rovers,Sam Holt,Shot,85,49,Goal,0.16,14.3,0.72,Head,Set Piece,1
1006,11,Rival United,Liam Hart,Shot,86,51,Miss,0.09,15.2,0.68,Foot,Open Play,0
1006,42,Demo FC,Ryan Vale,Shot,90,44,Saved,0.18,12.2,0.81,Foot,Open Play,0
1006,64,Demo FC,Alex Cole,Shot,93,43,Goal,0.31,9.1,0.95,Foot,Open Play,1
1006,83,Rival United,Ethan Shaw,Shot,88,50,Saved,0.13,13.6,0.76,Foot,Open Play,0
