match_id,date,competition,home_team,away_team,home_goals,away_goals,home_xg,away_xg,home_possession,away_possession
1101,2026-01-10,Demo League,Capital Rovers,Coastal Town,1,1,1.20,1.00,52,48
1102,2026-01-17,Demo League,Capital Rovers,Demo FC,1,2,1.10,1.80,46,54
1103,2026-01-24,Demo League,Capital Rovers,Highland SC,2,0,1.90,0.70,55,45
1104,2026-01-31,Demo League,Capital Rovers,Metro City,1,2,1.30,1.60,49,51
1105,2026-02-07,Demo League,Capital Rovers,Rival United,0,1,0.80,1.20,47,53
1106,2026-02-14,Demo League,Coastal Town,Demo FC,0,2,0.60,1.70,42,58
1107,2026-02-21,Demo League,Coastal Town,Highland SC,1,1,1.10,1.00,50,50
1108,2026-02-28,Demo League,Coastal Town,Metro City,2,2,1.50,1.40,53,47
1109,2026-03-07,Demo League,Coastal Town,Rival United,1,0,1.20,0.90,51,49
1110,2026-03-14,Demo League,Demo FC,Highland SC,3,1,2.30,1.10,57,43
1111,2026-03-21,Demo League,Demo FC,Metro City,1,1,1.40,1.30,55,45
1112,2026-03-28,Demo League,Demo FC,Rival United,2,2,1.80,1.70,52,48
1113,2026-04-04,Demo League,Highland SC,Metro City,0,1,0.90,1.20,48,52
1114,2026-04-11,Demo League,Highland SC,Rival United,1,2,1.20,1.50,46,54
1115,2026-04-18,Demo League,Metro City,Rival United,2,0,1.90,0.80,56,44
